index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level;
0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Berserker,jattwell0,409,China,100;
1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Guardian,scarnson1,12,El Salvador,20;
2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Slayer,nboobyer2,320,Norway,100;
3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Gladiator,tchippindale3,171,Japan,100;
4,Netta,,nmateescu4@flavors.me,female,arctic armour,Inquisitor,ngeorgins4,446,Russia,100;
5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Necromancer,aformoy5,215,Peru,100;
6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Hierophant,gcapponeer6,157,Indonesia,100;
7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Elementalist,bmargarson7,439,Mozambique,100;
8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Guardian,akissock8,233,Czech Republic,100;
9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Pathfinder,pheeron9,16,Japan,21;
10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Gladiator,sminifiea,354,Canada,100;
11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Slayer,lfochsb,163,Iran,100;
12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Chieftain,gdradeyc,423,Morocco,100;
13,Ivy,,igregrd@google.es,female,barrage,Hierophant,ipimlockd,310,Norway,100;
14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Saboteur,hrowlsone,370,Indonesia,100;
15,Northrup,,nskitralf@ibm.com,female,animate weapon,Deadeye,nhabardf,301,Peru,100;
16,Cleo,,clucianog@dot.gov,female,arctic armour,Champion,ceasmang,48,North Korea,19;
17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Guardian,sboffeyh,315,Poland,100;
18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Pathfinder,pbuckei,385,Russia,100;
19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Assassin,kwevellj,323,Canada,100;
20,Tarrance,Rait,traitk@ehow.com,female,barrage,Elementalist,traitk,286,Sweden,100;
21,Antone,,adeluzel@mediafire.com,female,arctic armour,Trickster,agoulterl,78,Thailand,29;
22,,Tidey,rtideym@oaic.gov.au,female,barrage,Occultist,ktideym,60,Poland,43;
23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Hierophant,selkingtonn,148,Afghanistan,100;
24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Guardian,salveno,384,China,100;
25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Deadeye,mkennairdp,264,Greece,100;
26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Saboteur,imetheringhamq,434,Zambia,100;
27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Slayer,kbezemerr,44,Portugal,10;
28,,Kearns,jkearnss@amazon.com,female,barrage,Berserker,skearnss,59,Moldova,32;
29,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,Gladiator,hbateript,347,Finland,100;
30,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,Slayer,dqusklayu,103,Japan,41;
31,Jeanna,,jwhearv@163.com,female,barrage,Inquisitor,jbainesv,228,China,100;
32,Rosamund,Matelaitis,rmatelaitisw@webeden.co.uk,female,animate weapon,Chieftain,rmatelaitisw,322,Bahrain,100;
33,Celia,Fellenor,cfellenorx@nps.gov,female,barrage,Juggernaut,cfellenorx,133,Cameroon,100;
34,Dacey,,dcassiey@ihg.com,female,barrage,Juggernaut,dbrienty,333,Indonesia,100;
35,Eben,,ecavanz@t.co,female,arctic armour,Raider,evanderhoevenz,390,Indonesia,100;
36,Mordy,Shelly,mshelly10@wufoo.com,female,animate weapon,Champion,mshelly10,60,Serbia,53;
37,Brook,Severwright,bseverwright11@constantcontact.com,female,arctic armour,Hierophant,bseverwright11,214,Russia,100;
38,Jacquette,Pettet,jpettet12@shinystat.com,female,arctic armour,Juggernaut,jpettet12,416,Tunisia,100;
39,Roberto,,rwhickman13@cornell.edu,female,barrage,Saboteur,rmcmanaman13,124,Nepal,100;
40,Mathilda,Scintsbury,mscintsbury14@shutterfly.com,female,animate weapon,Slayer,mscintsbury14,429,Slovenia,100;
41,Bancroft,,bball15@ihg.com,female,arctic armour,Berserker,bmarrington15,362,Somalia,100;
42,Bengt,Shory,bshory16@apple.com,female,barrage,Deadeye,bshory16,173,Tanzania,100;
43,Laina,,lscoyne17@independent.co.uk,female,barrage,Saboteur,lennew17,364,Russia,100;
44,,Citrine,jcitrine18@usnews.com,female,animate weapon,Deadeye,jcitrine18,54,China,69;
45,,Kenforth,tkenforth19@printfriendly.com,female,arctic armour,Assassin,kkenforth19,312,France,100;
46,Brigid,,bhardiman1a@wired.com,female,animate weapon,Berserker,bguisot1a,395,China,100;
47,Gusty,Jerger,gjerger1b@toplist.cz,female,barrage,Juggernaut,gjerger1b,335,Indonesia,100;
48,,Nenci,rnenci1c@cisco.com,female,barrage,Hierophant,jnenci1c,184,Philippines,100;
49,,Pennycook,zpennycook1d@linkedin.com,female,barrage,Ascendant,ppennycook1d,111,China,67;
50,Niel,,ngorelli1e@digg.com,female,arctic armour,Occultist,nsouten1e,362,Czech Republic,100;
51,Buddy,Padwick,bpadwick1f@baidu.com,female,barrage,Hierophant,bpadwick1f,30,Russia,1;
52,Jamison,Itzkin,jitzkin1g@tinypic.com,female,barrage,Juggernaut,jitzkin1g,283,China,100;
53,Cathe,,ctoomer1h@networkadvertising.org,female,animate weapon,Ascendant,cbusek1h,413,Argentina,100;
54,,,vwitter1i@163.com,female,barrage,Inquisitor,dbeatty1i,99,Pakistan,60;
55,Christabella,Kem,ckem1j@aol.com,female,barrage,Necromancer,ckem1j,365,Guatemala,100;
56,Pam,Cavolini,pcavolini1k@geocities.com,female,animate weapon,Saboteur,pcavolini1k,90,Brazil,36;
57,Elaine,,ebreens1l@ucoz.ru,female,barrage,Champion,esage1l,397,Peru,100;
58,Pen,Grolle,pgrolle1m@tripadvisor.com,female,barrage,Saboteur,pgrolle1m,46,Indonesia,14;
59,Cherilyn,Scutcheon,cscutcheon1n@comsenz.com,female,barrage,Hierophant,cscutcheon1n,186,China,100;
60,Cahra,Rawes,crawes1o@oaic.gov.au,female,arctic armour,Champion,crawes1o,390,Peru,100;
61,Port,Caulcutt,pcaulcutt1p@cornell.edu,female,barrage,Slayer,pcaulcutt1p,144,Nigeria,100;
62,Fifine,Pinchen,fpinchen1q@wikipedia.org,female,barrage,Assassin,fpinchen1q,441,China,100;
63,Geoff,,gcogger1r@nytimes.com,female,animate weapon,Trickster,gcamier1r,397,China,100;
64,Jarrad,Meechan,jmeechan1s@elegantthemes.com,female,arctic armour,Necromancer,jmeechan1s,310,Indonesia,100;
65,Zedekiah,,zferraresi1t@storify.com,female,animate weapon,Guardian,ztomson1t,54,Nigeria,61;
66,Hester,Verrill,hverrill1u@tmall.com,female,barrage,Occultist,hverrill1u,51,Slovenia,66;
67,Gareth,Spadaro,gspadaro1v@livejournal.com,female,animate weapon,Elementalist,gspadaro1v,252,Portugal,100;
68,Graham,Attwoul,gattwoul1w@topsy.com,female,animate weapon,Champion,gattwoul1w,273,Uruguay,100;
69,,,vromi1x@sciencedaily.com,female,barrage,Occultist,csargint1x,105,Portugal,45;
70,Edith,Lyst,elyst1y@opensource.org,female,animate weapon,Pathfinder,elyst1y,392,China,100;
71,Walton,,wramsdell1z@jalbum.net,female,arctic armour,Saboteur,wbetts1z,24,Poland,2;
72,Paul,,prootes20@stumbleupon.com,female,animate weapon,Occultist,plysaght20,225,United States,100;
73,Ferris,Wroath,fwroath21@pinterest.com,female,animate weapon,Chieftain,fwroath21,284,China,100;
74,Riane,Farfoot,rfarfoot22@shutterfly.com,female,barrage,Raider,rfarfoot22,32,China,14;
75,Flor,Callander,fcallander23@tiny.cc,female,animate weapon,Ascendant,fcallander23,256,Germany,100;
76,Harold,Davidov,hdavidov24@issuu.com,female,barrage,Elementalist,hdavidov24,295,France,100;
77,Molli,,mhaps25@wp.com,female,barrage,Inquisitor,mgyves25,118,Serbia,45;
