,id,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,1,,Attwell,kattwell0@hhs.gov,female,arctic armour,other,jattwell0,409,China,100
1,2,Shoshanna,,scorrigan1@pinterest.com,female,barrage,other,scarnson1,12,El Salvador,20
2,3,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,scion,nboobyer2,320,Norway,100
3,4,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,scion,tchippindale3,171,Japan,100
4,5,Netta,,nmateescu4@flavors.me,female,arctic armour,other,ngeorgins4,446,Russia,100
5,6,Austin,Formoy,aformoy5@live.com,female,animate weapon,scion,aformoy5,215,Peru,100
6,7,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,other,gcapponeer6,157,Indonesia,100
7,8,Barbette,,bcrosfield7@weather.com,female,animate weapon,scion,bmargarson7,439,Mozambique,100
8,9,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,other,akissock8,233,Czech Republic,100
9,10,Patty,,pdelion9@hugedomains.com,female,arctic armour,other,pheeron9,16,Japan,21
10,11,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,other,sminifiea,354,Canada,100
11,12,Lotti,Fochs,lfochsb@lycos.com,female,barrage,scion,lfochsb,163,Iran,100
12,13,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,other,gdradeyc,423,Morocco,100
13,14,Ivy,,igregrd@google.es,female,barrage,scion,ipimlockd,310,Norway,100
14,15,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,other,hrowlsone,370,Indonesia,100
15,16,Northrup,,nskitralf@ibm.com,female,animate weapon,scion,nhabardf,301,Peru,100
16,17,Cleo,,clucianog@dot.gov,female,arctic armour,scion,ceasmang,48,North Korea,19
17,18,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,scion,sboffeyh,315,Poland,100
18,19,Paige,Bucke,pbuckei@ustream.tv,female,barrage,other,pbuckei,385,Russia,100
19,20,Keary,,krainsdonj@mapy.cz,female,animate weapon,scion,kwevellj,323,Canada,100
20,21,Tarrance,Rait,traitk@ehow.com,female,barrage,other,traitk,286,Sweden,100
21,22,Antone,,adeluzel@mediafire.com,female,arctic armour,scion,agoulterl,78,Thailand,29
22,23,,Tidey,rtideym@oaic.gov.au,female,barrage,other,ktideym,60,Poland,43
23,24,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,scion,selkingtonn,148,Afghanistan,100
24,25,Selma,Alven,salveno@themeforest.net,female,animate weapon,other,salveno,384,China,100
25,26,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,scion,mkennairdp,264,Greece,100
26,27,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,scion,imetheringhamq,434,Zambia,100
27,28,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,scion,kbezemerr,44,Portugal,10
28,29,,Kearns,jkearnss@amazon.com,female,barrage,other,skearnss,59,Moldova,32
29,30,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,other,hbateript,347,Finland,100
30,31,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,scion,dqusklayu,103,Japan,41
31,32,Jeanna,,jwhearv@163.com,female,barrage,other,jbainesv,228,China,100
32,33,Rosamund,Matelaitis,rmatelaitisw@webeden.co.uk,female,animate weapon,other,rmatelaitisw,322,Bahrain,100
33,34,Celia,Fellenor,cfellenorx@nps.gov,female,barrage,scion,cfellenorx,133,Cameroon,100
34,35,Dacey,,dcassiey@ihg.com,female,barrage,scion,dbrienty,333,Indonesia,100
35,36,Eben,,ecavanz@t.co,female,arctic armour,scion,evanderhoevenz,390,Indonesia,100
36,37,Mordy,Shelly,mshelly10@wufoo.com,female,animate weapon,scion,mshelly10,60,Serbia,53
37,38,Brook,Severwright,bseverwright11@constantcontact.com,female,arctic armour,other,bseverwright11,214,Russia,100
38,39,Jacquette,Pettet,jpettet12@shinystat.com,female,arctic armour,scion,jpettet12,416,Tunisia,100
39,40,Roberto,,rwhickman13@cornell.edu,female,barrage,other,rmcmanaman13,124,Nepal,100
40,41,Mathilda,Scintsbury,mscintsbury14@shutterfly.com,female,animate weapon,scion,mscintsbury14,429,Slovenia,100
41,42,Bancroft,,bball15@ihg.com,female,arctic armour,other,bmarrington15,362,Somalia,100
42,43,Bengt,Shory,bshory16@apple.com,female,barrage,scion,bshory16,173,Tanzania,100
43,44,Laina,,lscoyne17@independent.co.uk,female,barrage,other,lennew17,364,Russia,100
44,45,,Citrine,jcitrine18@usnews.com,female,animate weapon,other,jcitrine18,54,China,69
45,46,,Kenforth,tkenforth19@printfriendly.com,female,arctic armour,other,kkenforth19,312,France,100
46,47,Brigid,,bhardiman1a@wired.com,female,animate weapon,scion,bguisot1a,395,China,100
47,48,Gusty,Jerger,gjerger1b@toplist.cz,female,barrage,scion,gjerger1b,335,Indonesia,100
48,49,,Nenci,rnenci1c@cisco.com,female,barrage,other,jnenci1c,184,Philippines,100
49,50,,Pennycook,zpennycook1d@linkedin.com,female,barrage,scion,ppennycook1d,111,China,67
50,51,Niel,,ngorelli1e@digg.com,female,arctic armour,scion,nsouten1e,362,Czech Republic,100
51,52,Buddy,Padwick,bpadwick1f@baidu.com,female,barrage,other,bpadwick1f,30,Russia,1
52,53,Jamison,Itzkin,jitzkin1g@tinypic.com,female,barrage,scion,jitzkin1g,283,China,100
53,54,Cathe,,ctoomer1h@networkadvertising.org,female,animate weapon,other,cbusek1h,413,Argentina,100
54,55,,,vwitter1i@163.com,female,barrage,other,dbeatty1i,99,Pakistan,60
55,56,Christabella,Kem,ckem1j@aol.com,female,barrage,scion,ckem1j,365,Guatemala,100
56,57,Pam,Cavolini,pcavolini1k@geocities.com,female,animate weapon,other,pcavolini1k,90,Brazil,36
57,58,Elaine,,ebreens1l@ucoz.ru,female,barrage,other,esage1l,397,Peru,100
