id,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
1,,Attwell,kattwell0@hhs.gov,male,arctic armour,other,jattwell0,409,China,100
2,Shoshanna,,scorrigan1@pinterest.com,male,barrage,other,scarnson1,12,El Salvador,20
3,Nadya,Boobyer,nboobyer2@yahoo.com,male,arctic armour,scion,nboobyer2,320,Norway,100
4,Tris,Chippindale,tchippindale3@businessinsider.com,male,barrage,scion,tchippindale3,171,Japan,100
5,Netta,,nmateescu4@flavors.me,male,arctic armour,other,ngeorgins4,446,Russia,100
6,Austin,Formoy,aformoy5@live.com,male,animate weapon,scion,aformoy5,215,Peru,100
7,Greta,Capponeer,gcapponeer6@furl.net,male,animate weapon,other,gcapponeer6,157,Indonesia,100
8,Barbette,,bcrosfield7@weather.com,male,animate weapon,scion,bmargarson7,439,Mozambique,100
9,Adiana,Kissock,akissock8@pcworld.com,male,arctic armour,other,akissock8,233,Czech Republic,100
10,Patty,,pdelion9@hugedomains.com,male,arctic armour,other,pheeron9,16,Japan,21
11,Stanfield,Minifie,sminifiea@list-manage.com,male,barrage,other,sminifiea,354,Canada,100
12,Lotti,Fochs,lfochsb@lycos.com,male,barrage,scion,lfochsb,163,Iran,100
13,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,male,barrage,other,gdradeyc,423,Morocco,100
14,Ivy,,igregrd@google.es,male,barrage,scion,ipimlockd,310,Norway,100
15,Hale,Rowlson,hrowlsone@exblog.jp,male,barrage,other,hrowlsone,370,Indonesia,100
16,Northrup,,nskitralf@ibm.com,male,animate weapon,scion,nhabardf,301,Peru,100
17,Cleo,,clucianog@dot.gov,male,arctic armour,scion,ceasmang,48,North Korea,19
18,Sherwynd,Boffey,sboffeyh@lycos.com,male,barrage,scion,sboffeyh,315,Poland,100
19,Paige,Bucke,pbuckei@ustream.tv,male,barrage,other,pbuckei,385,Russia,100
20,Keary,,krainsdonj@mapy.cz,male,animate weapon,scion,kwevellj,323,Canada,100
21,Tarrance,Rait,traitk@ehow.com,male,barrage,other,traitk,286,Sweden,100
22,Antone,,adeluzel@mediafire.com,male,arctic armour,scion,agoulterl,78,Thailand,29
23,,Tidey,rtideym@oaic.gov.au,male,barrage,other,ktideym,60,Poland,43
24,Sheela,,sredfearnn@nationalgeographic.com,male,arctic armour,scion,selkingtonn,148,Afghanistan,100
25,Selma,Alven,salveno@themeforest.net,male,animate weapon,other,salveno,384,China,100
