index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Chieftain,jattwell0,409,Bahrain,85
1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Raider,scarnson1,12,Denmark,6
2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Assassin,nboobyer2,320,Italy,86
3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Chieftain,tchippindale3,171,Peru,28
4,Netta,,nmateescu4@flavors.me,female,arctic armour,Necromancer,ngeorgins4,446,Djibouti,28
5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Deadeye,aformoy5,215,Saint Barthelemy,27
6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Inquisitor,gcapponeer6,157,East Timor,41
7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Slayer,bmargarson7,439,Italy,37
8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Necromancer,akissock8,233,Comoros,6
9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Necromancer,pheeron9,16,Mexico,2
10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Trickster,sminifiea,354,Serbia,23
11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Hierophant,lfochsb,163,Chile,37
12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Saboteur,gdradeyc,423,Sudan,27
13,Ivy,,igregrd@google.es,female,barrage,Assassin,ipimlockd,310,Ukraine,78
14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Necromancer,hrowlsone,370,Armenia,27
15,Northrup,,nskitralf@ibm.com,female,animate weapon,Ascendant,nhabardf,301,Palestinian Territory,86
16,Cleo,,clucianog@dot.gov,female,arctic armour,Champion,ceasmang,48,Estonia,57
17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Hierophant,sboffeyh,315,Russia,50
18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Slayer,pbuckei,385,Laos,21
19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Inquisitor,kwevellj,323,South Sudan,67
20,Tarrance,Rait,traitk@ehow.com,female,barrage,Deadeye,traitk,286,Kyrgyzstan,96
21,Antone,,adeluzel@mediafire.com,female,arctic armour,Raider,agoulterl,78,Republic of the Congo,12
22,,Tidey,rtideym@oaic.gov.au,female,barrage,Champion,ktideym,60,Azerbaijan,18
23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Trickster,selkingtonn,148,Nicaragua,83
24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Pathfinder,salveno,384,Eritrea,53
25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Inquisitor,mkennairdp,264,Chad,71
26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Elementalist,imetheringhamq,434,New Zealand,29
27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Champion,kbezemerr,44,Venezuela,57
28,,Kearns,jkearnss@amazon.com,female,barrage,Assassin,skearnss,59,Sweden,14
