,index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Berserker,jattwell0,409,Japan,10
1,1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Chieftain,scarnson1,12,Mexico,29
2,2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Juggernaut,nboobyer2,320,Guatemala,47
3,3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Juggernaut,tchippindale3,171,Kosovo,47
4,4,Netta,,nmateescu4@flavors.me,female,arctic armour,Gladiator,ngeorgins4,446,Finland,95
5,5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Inquisitor,aformoy5,215,Israel,80
6,6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Berserker,gcapponeer6,157,South Africa,76
7,7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Raider,bmargarson7,439,Morocco,36
8,8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Chieftain,akissock8,233,Sweden,75
9,9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Saboteur,pheeron9,16,Moldova,96
10,10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Assassin,sminifiea,354,Mauritania,80
11,11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Gladiator,lfochsb,163,Pakistan,48
12,12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Berserker,gdradeyc,423,South Sudan,70
13,13,Ivy,,igregrd@google.es,female,barrage,Inquisitor,ipimlockd,310,Czech Republic,8
14,14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Necromancer,hrowlsone,370,Moldova,16
15,15,Northrup,,nskitralf@ibm.com,female,animate weapon,Slayer,nhabardf,301,Sierra Leone,87
16,16,Cleo,,clucianog@dot.gov,female,arctic armour,Hierophant,ceasmang,48,Poland,15
17,17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Trickster,sboffeyh,315,Zambia,15
18,18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Berserker,pbuckei,385,Guatemala,2
19,19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Champion,kwevellj,323,Laos,18
